,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
2,0.6000000000000001,0.2975725844835793,0,1,0,1,2,2,0.23032069970845503,0.4492537313432834,0.44444444444444375,0.3833333333333333,0.5178432893716058,4,3,0.3433962264150943,5,1,27,0.125,20,10,0.16666666666666669,0.26315789473684204,16500
3,0.8,0.5183246073298429,1,1,0,0,3,1,0.3848396501457727,0.5298507462686568,0.5042735042735043,0.5416666666666665,0.3293250581846392,2,2,0.18113207547169813,5,13,24,0.1875,2,16,0.3055555555555555,0.368421052631579,13950
4,0.8,0.5183246073298429,1,1,0,0,3,0,0.37317784256559783,0.5298507462686568,0.5213675213675213,0.5416666666666665,0.5182311869666407,2,1,0.2830188679245283,5,13,24,0.0625,8,16,0.1388888888888889,0.1578947368421053,17450
5,0.8,0.2975725844835793,1,1,0,1,3,1,0.3848396501457727,0.5402985074626869,0.5128205128205119,0.4416666666666669,0.3952676493405741,2,1,0.2830188679245283,5,13,24,0.09375,4,16,0.16666666666666669,0.23684210526315785,15250
6,0.6000000000000001,0.486910994764398,1,1,0,0,3,1,0.5597667638483963,0.770149253731343,0.9487179487179489,0.6583333333333337,0.525989138867339,2,1,0.2830188679245283,5,13,24,0.09375,4,16,0.16666666666666669,0.23684210526315785,17710
7,0.6000000000000001,0.2975725844835793,1,1,0,0,4,1,0.5597667638483963,0.770149253731343,0.9487179487179489,0.6583333333333337,0.5686578743211792,2,1,0.2830188679245283,5,13,24,0.09375,4,16,0.16666666666666669,0.23684210526315785,18920
9,0.8,0.6649214659685865,2,1,0,1,3,2,0.425655976676385,0.5328358208955226,0.38461538461538414,0.5416666666666665,0.35182311869666405,2,2,0.17735849056603775,5,24,6,0.11250000000000004,1,18,0.27777777777777773,0.3421052631578947,16430
10,0.4,0.6649214659685865,2,1,0,0,3,2,0.425655976676385,0.5328358208955226,0.38461538461538414,0.5416666666666665,0.35182311869666405,2,2,0.17735849056603775,5,24,6,0.11250000000000004,1,18,0.27777777777777773,0.3421052631578947,16925
11,0.4,0.6439790575916231,2,1,0,1,3,2,0.425655976676385,0.5328358208955226,0.38461538461538414,0.5416666666666665,0.474010861132661,2,3,0.38867924528301884,5,16,17,0.125,11,2,0.22222222222222215,0.3157894736842105,20970
12,0.4,0.6439790575916231,2,1,0,0,3,2,0.425655976676385,0.5328358208955226,0.38461538461538414,0.5416666666666665,0.495345228859581,2,3,0.38867924528301884,5,16,17,0.125,11,2,0.22222222222222215,0.3157894736842105,21105
13,0.6000000000000001,0.2975725844835793,2,1,0,0,3,2,0.49271137026239087,0.7149253731343284,0.5641025641025639,0.6583333333333337,0.6078355314197053,2,3,0.38867924528301884,5,16,17,0.125,11,2,0.19444444444444448,0.23684210526315785,24565
14,0.4,0.2975725844835793,2,1,0,0,3,2,0.49271137026239087,0.7149253731343284,0.5641025641025639,0.6583333333333337,0.6757176105508145,2,3,0.558490566037736,5,30,23,0.0625,28,15,0.08333333333333331,0.1578947368421053,30760
15,0.4,0.2975725844835793,2,1,0,1,3,2,0.49271137026239087,0.7865671641791048,0.6495726495726499,0.4916666666666667,0.7339022498060512,2,3,0.558490566037736,5,30,23,0.0625,28,15,0.08333333333333331,0.1578947368421053,41315
16,0.4,0.2975725844835793,2,1,0,0,3,2,0.6822157434402332,0.8343283582089551,0.9059829059829063,0.7083333333333335,0.7823894491854151,2,3,0.558490566037736,5,30,23,0.0625,28,15,0.055555555555555525,0.10526315789473684,36880
18,0.6000000000000001,0.1727748691099476,3,1,0,1,2,1,0.23032069970845503,0.22089552238805998,0.28205128205128194,0.3500000000000001,0.14972847168347558,2,2,0.10943396226415092,1,7,13,0.16249999999999998,43,15,0.6944444444444444,0.7105263157894737,6295
19,0.4,0.08376963350785338,3,1,0,0,3,1,0.23032069970845503,0.2641791044776123,0.28205128205128194,0.3500000000000001,0.1633048875096974,2,2,0.10943396226415092,1,7,13,0.16249999999999998,43,15,0.6944444444444444,0.7105263157894737,6575
20,0.6000000000000001,0.27748691099476436,4,1,0,1,2,1,0.20699708454810528,0.2417910447761198,0.29914529914529897,0.24999999999999956,0.15050426687354534,2,2,0.10943396226415092,1,4,19,0.150625,41,16,0.6666666666666665,0.6578947368421053,5572
21,0.6000000000000001,0.27748691099476436,4,1,0,1,2,1,0.20699708454810528,0.2417910447761198,0.29914529914529897,0.24999999999999956,0.15050426687354534,2,2,0.10943396226415092,1,4,19,0.15000000000000002,41,16,0.49999999999999994,0.5789473684210527,6377
22,0.6000000000000001,0.27748691099476436,4,1,1,1,2,1,0.20699708454810528,0.2417910447761198,0.29914529914529897,0.24999999999999956,0.24825446082234293,2,2,0.139622641509434,5,7,23,0.03749999999999998,2,16,0.3055555555555555,0.368421052631579,7957
23,0.6000000000000001,0.43455497382198954,4,1,0,0,2,1,0.20699708454810528,0.2417910447761198,0.29914529914529897,0.23333333333333384,0.18580294802172226,2,2,0.10943396226415092,1,4,19,0.15000000000000002,41,16,0.49999999999999994,0.5789473684210527,6229
24,0.6000000000000001,0.43455497382198954,4,1,0,0,3,1,0.20699708454810528,0.2417910447761198,0.29914529914529897,0.23333333333333384,0.1943366951124903,2,2,0.10943396226415092,1,4,19,0.15000000000000002,41,16,0.49999999999999994,0.5789473684210527,6692
25,0.6000000000000001,0.43455497382198954,4,1,0,0,3,1,0.20699708454810528,0.2417910447761198,0.29914529914529897,0.23333333333333384,0.1943366951124903,2,2,0.10943396226415092,1,4,19,0.15000000000000002,41,16,0.49999999999999994,0.5789473684210527,7609
26,0.6000000000000001,0.43455497382198954,4,1,1,0,3,1,0.20699708454810528,0.2417910447761198,0.29914529914529897,0.23333333333333384,0.2726920093095423,2,2,0.139622641509434,5,7,23,0.03749999999999998,2,16,0.3055555555555555,0.368421052631579,8558
27,0.2,0.23560209424083772,4,1,0,0,4,1,0.4868804664723032,0.5,0.3675213675213671,0.9999999999999996,0.40612878200155156,2,2,0.23018867924528302,1,18,26,0.09375,52,10,0.3055555555555555,0.368421052631579,8921
28,1.0,0.41884816753926707,4,1,1,1,2,1,0.2711370262390673,0.4791044776119402,0.5128205128205119,0.20000000000000062,0.513188518231187,2,2,0.3584905660377358,4,28,34,0.0,18,10,0.16666666666666669,0.21052631578947367,12964
30,0.8,0.3769633507853403,5,1,0,1,2,1,0.0,0.052238805970149294,0.3076923076923075,0.24999999999999956,0.12839410395655548,2,2,0.11698113207547167,0,2,25,0.13749999999999996,46,20,0.49999999999999994,0.5789473684210527,6855
31,0.6000000000000001,0.1884816753926702,5,1,0,1,2,1,0.20699708454810528,0.13283582089552226,0.316239316239316,0.3999999999999999,0.1353762606671839,2,2,0.06792452830188678,0,2,10,0.19374999999999998,38,16,0.6944444444444444,0.6842105263157894,5399
32,0.6000000000000001,0.1884816753926702,5,1,0,1,2,1,0.20699708454810528,0.13283582089552226,0.316239316239316,0.3999999999999999,0.1753297129557797,2,2,0.11698113207547167,0,2,25,0.13749999999999996,46,20,0.47222222222222215,0.4736842105263157,6529
33,0.6000000000000001,0.1884816753926702,5,1,0,1,2,1,0.20699708454810528,0.13283582089552226,0.316239316239316,0.3999999999999999,0.18153607447633824,2,2,0.11698113207547167,0,2,25,0.13749999999999996,46,20,0.47222222222222215,0.4736842105263157,7129
34,0.4,0.23560209424083772,5,1,0,0,3,1,0.2886297376093294,0.33283582089552244,0.316239316239316,0.5583333333333331,0.20248254460822346,2,2,0.11698113207547167,0,2,25,0.13749999999999996,46,20,0.47222222222222215,0.4736842105263157,7295
35,0.4,0.0680628272251309,5,1,0,0,4,1,0.2886297376093294,0.23880597014925353,0.3076923076923075,0.8749999999999996,0.20791311093871212,2,2,0.11698113207547167,0,3,25,0.13749999999999996,46,20,0.47222222222222215,0.4736842105263157,7295
36,0.4,0.21465968586387435,5,1,0,1,2,1,0.2886297376093294,0.39402985074626873,0.4188034188034191,0.4583333333333335,0.29014740108611325,2,2,0.1849056603773585,0,11,31,0.125,51,18,0.3888888888888889,0.4473684210526315,7895
37,0.4,0.21465968586387435,5,1,0,1,2,1,0.2886297376093294,0.39402985074626873,0.4188034188034191,0.4583333333333335,0.3107059736229635,2,2,0.1849056603773585,0,11,31,0.125,51,18,0.3888888888888889,0.4473684210526315,9095
38,0.4,0.10471204188481675,5,1,0,0,3,1,0.2886297376093294,0.5119402985074628,0.4188034188034191,0.5249999999999999,0.31652443754848725,2,2,0.1849056603773585,0,11,31,0.125,51,18,0.3888888888888889,0.4473684210526315,8845
39,0.4,0.10471204188481675,5,1,0,0,3,1,0.2886297376093294,0.5119402985074628,0.18803418803418825,0.5249999999999999,0.34290147401086113,2,2,0.1849056603773585,0,11,31,0.125,51,18,0.3888888888888889,0.4473684210526315,10295
40,0.4,0.10471204188481675,5,1,0,0,3,1,0.2886297376093294,0.5119402985074628,0.4188034188034191,0.5249999999999999,0.3789759503491078,2,2,0.1849056603773585,5,11,31,0.125,1,18,0.3055555555555555,0.3157894736842105,12945
41,0.6000000000000001,0.21989528795811514,5,1,0,1,3,1,0.2886297376093294,0.4179104477611939,0.4871794871794872,0.26666666666666705,0.3122575640031032,2,2,0.1849056603773585,1,11,31,0.13124999999999998,0,16,0.3333333333333333,0.39473684210526316,10345
42,0.4,0.2975725844835793,6,1,0,0,3,2,0.22448979591836737,0.4417910447761191,0.12820512820512775,0.4750000000000001,0.3293250581846392,2,2,0.18867924528301888,1,16,19,0.09375,47,8,0.3055555555555555,0.3421052631578947,6785
43,0.8,0.2975725844835793,6,1,0,1,2,2,0.27405247813411115,0.4701492537313432,0.4188034188034191,0.30000000000000027,0.4833204034134988,2,2,0.2188679245283019,7,21,19,0.13749999999999996,53,10,0.3055555555555555,0.3421052631578947,11048
47,0.6000000000000001,0.20418848167539266,8,1,0,1,2,1,0.18950437317784274,0.26865671641791034,0.33333333333333304,0.5249999999999999,0.15593483320403412,2,2,0.1132075471698113,1,7,15,0.125,41,10,0.47222222222222215,0.39473684210526316,5195
48,0.6000000000000001,0.20418848167539266,8,1,0,1,2,1,0.18950437317784274,0.26865671641791034,0.33333333333333304,0.5249999999999999,0.15981380915438326,2,2,0.1132075471698113,1,7,15,0.125,41,10,0.49999999999999994,0.5789473684210527,6095
49,0.6000000000000001,0.20418848167539266,8,1,0,1,2,1,0.18950437317784274,0.26865671641791034,0.33333333333333304,0.5249999999999999,0.16175329712955777,2,2,0.1132075471698113,1,7,15,0.125,41,10,0.49999999999999994,0.5789473684210527,6795
50,0.6000000000000001,0.2513089005235602,8,1,0,0,3,1,0.18950437317784274,0.38358208955223905,0.33333333333333304,0.5249999999999999,0.17726920093095422,2,2,0.1132075471698113,1,7,15,0.125,41,10,0.49999999999999994,0.5789473684210527,6695
51,0.6000000000000001,0.2513089005235602,8,1,0,0,3,1,0.18950437317784274,0.38358208955223905,0.33333333333333304,0.5249999999999999,0.17920868890612873,2,2,0.1132075471698113,1,9,15,0.125,41,10,0.49999999999999994,0.5789473684210527,7395
56,0.6000000000000001,0.3350785340314136,8,1,0,1,2,1,0.3556851311953353,0.5477611940298508,0.5299145299145298,0.4916666666666667,0.3479441427463149,2,2,0.23018867924528302,1,20,23,0.09999999999999998,49,8,0.3611111111111111,0.42105263157894735,8845
57,0.4,0.2617801047120419,8,1,0,0,3,1,0.3556851311953353,0.5477611940298508,0.5299145299145298,0.641666666666667,0.3576415826221877,2,2,0.23018867924528302,1,20,23,0.09999999999999998,49,8,0.3611111111111111,0.42105263157894735,8495
58,0.6000000000000001,0.3350785340314136,8,1,0,1,2,1,0.3556851311953353,0.5477611940298508,0.5299145299145298,0.4916666666666667,0.3479441427463149,2,2,0.23018867924528302,1,20,23,0.09999999999999998,49,8,0.3611111111111111,0.42105263157894735,10595
59,0.4,0.2617801047120419,8,1,0,0,3,1,0.3556851311953353,0.5477611940298508,0.5299145299145298,0.641666666666667,0.3576415826221877,2,2,0.23018867924528302,1,20,23,0.09999999999999998,49,8,0.3611111111111111,0.42105263157894735,10245
61,0.4,0.2617801047120419,8,1,0,0,2,1,0.3556851311953353,0.5477611940298508,0.5299145299145298,0.641666666666667,0.36346004654771136,2,2,0.23018867924528302,1,20,23,0.09999999999999998,49,8,0.3611111111111111,0.42105263157894735,11245
62,0.4,0.27748691099476436,8,1,0,0,3,2,0.5335276967930032,0.5059701492537312,0.49572649572649485,0.5500000000000003,0.45849495733126444,2,2,0.2981132075471698,5,34,16,0.0625,10,10,0.16666666666666669,0.2894736842105263,18280
72,0.6000000000000001,0.2975725844835793,10,1,1,1,2,2,0.4693877551020411,0.5567164179104478,0.6581196581196576,0.5833333333333335,0.5515903801396431,2,2,0.2981132075471698,5,35,14,0.0625,26,10,0.16666666666666669,0.21052631578947367,16503
73,0.8,0.5026178010471205,11,1,0,1,2,1,0.20699708454810528,0.2417910447761198,0.35042735042735096,0.24999999999999956,0.16679596586501166,2,2,0.11698113207547167,1,4,19,0.15000000000000002,41,16,0.6666666666666665,0.6578947368421053,5389
74,0.8,0.5026178010471205,11,1,0,1,2,1,0.20699708454810528,0.2417910447761198,0.35042735042735096,0.24999999999999956,0.17688130333591934,2,2,0.11698113207547167,1,4,19,0.15000000000000002,41,16,0.49999999999999994,0.5789473684210527,6189
75,0.8,0.5026178010471205,11,1,0,1,2,1,0.20699708454810528,0.2417910447761198,0.35042735042735096,0.24999999999999956,0.20015515903801395,2,2,0.11698113207547167,1,4,19,0.15000000000000002,41,16,0.49999999999999994,0.5789473684210527,6669
76,0.6000000000000001,0.5026178010471205,11,1,1,1,2,1,0.18658892128279891,0.2417910447761198,0.29914529914529897,0.24999999999999956,0.25484871993793634,2,2,0.139622641509434,6,7,23,0.03749999999999998,2,16,0.3055555555555555,0.368421052631579,7689
77,1.0,0.4607329842931937,11,1,1,1,2,1,0.2827988338192422,0.4761194029850748,0.4358974358974361,0.1333333333333333,0.34212567882079126,2,2,0.1849056603773585,6,12,26,0.03125,9,16,0.27777777777777773,0.368421052631579,9959
78,1.0,0.4607329842931937,11,1,0,1,2,1,0.2827988338192422,0.4761194029850748,0.4358974358974361,0.1333333333333333,0.32583397982932505,2,2,0.23018867924528302,1,19,26,0.09375,52,10,0.3333333333333333,0.42105263157894735,8499
79,1.0,0.2975725844835793,11,1,1,1,2,1,0.2711370262390673,0.4791044776119402,0.5128205128205119,0.20000000000000062,0.5217222653219551,2,2,0.3584905660377358,6,26,33,0.0,18,10,0.16666666666666669,0.21052631578947367,12629
80,1.0,0.2975725844835793,11,1,1,1,2,1,0.2711370262390673,0.4791044776119402,0.5128205128205119,0.20000000000000062,0.5558572536850273,2,2,0.3584905660377358,6,27,33,0.0,18,10,0.16666666666666669,0.21052631578947367,14869
81,1.0,0.2975725844835793,11,1,1,1,2,1,0.2711370262390673,0.4791044776119402,0.5128205128205119,0.20000000000000062,0.5577967416602017,2,2,0.3584905660377358,6,27,33,0.0,18,10,0.16666666666666669,0.21052631578947367,14489
82,0.6000000000000001,0.3141361256544503,11,1,0,0,3,1,0.2827988338192422,0.46716417910447783,0.4358974358974361,0.3166666666666669,0.34018619084561674,2,2,0.23018867924528302,1,19,26,0.09375,52,10,0.3333333333333333,0.42105263157894735,6989
83,0.6000000000000001,0.3141361256544503,11,1,0,0,3,1,0.2827988338192422,0.46716417910447783,0.4358974358974361,0.3166666666666669,0.3557020946470132,2,2,0.23018867924528302,1,19,26,0.09375,52,10,0.3333333333333333,0.42105263157894735,8189
84,0.6000000000000001,0.3141361256544503,11,1,1,0,3,1,0.2827988338192422,0.46716417910447783,0.4358974358974361,0.3166666666666669,0.3549262994569433,2,2,0.1849056603773585,6,12,26,0.03125,9,16,0.27777777777777773,0.368421052631579,9279
85,0.2,0.3769633507853403,11,1,0,0,3,1,0.2827988338192422,0.46716417910447783,0.4358974358974361,0.3166666666666669,0.3549262994569433,2,2,0.1849056603773585,6,12,26,0.03125,9,16,0.27777777777777773,0.368421052631579,9279
86,0.6000000000000001,0.3298429319371728,12,1,0,1,3,1,0.23032069970845503,0.36119402985074656,0.29914529914529897,0.5583333333333331,0.15554693560899924,2,2,0.1358490566037736,1,11,21,0.15000000000000002,42,12,0.49999999999999994,0.5526315789473684,5499
88,0.6000000000000001,0.3298429319371728,12,1,0,1,3,1,0.23032069970845503,0.36119402985074656,0.29914529914529897,0.5583333333333331,0.16679596586501166,2,2,0.1358490566037736,1,11,21,0.15000000000000002,42,12,0.49999999999999994,0.5526315789473684,6649
89,0.6000000000000001,0.29842931937172773,12,1,0,0,3,1,0.23032069970845503,0.36119402985074656,0.29914529914529897,0.5583333333333331,0.17455391776570983,2,2,0.1358490566037736,1,11,21,0.15000000000000002,42,12,0.49999999999999994,0.5526315789473684,6849
90,0.6000000000000001,0.19895287958115188,12,1,0,0,4,1,0.23032069970845503,0.4343283582089552,0.29914529914529897,0.4750000000000001,0.20791311093871212,2,2,0.1358490566037736,1,11,21,0.15000000000000002,42,12,0.49999999999999994,0.5526315789473684,7349
91,0.6000000000000001,0.3298429319371728,12,1,0,1,3,1,0.23032069970845503,0.36119402985074656,0.29914529914529897,0.5583333333333331,0.17959658650116372,2,2,0.1358490566037736,1,11,21,0.15000000000000002,42,12,0.49999999999999994,0.5526315789473684,7299
92,0.6000000000000001,0.3298429319371728,12,1,0,1,2,1,0.23032069970845503,0.3656716417910446,0.29914529914529897,0.4583333333333335,0.20946470131885186,2,2,0.1358490566037736,1,11,21,0.15000000000000002,42,12,0.49999999999999994,0.5526315789473684,7799
93,0.6000000000000001,0.29842931937172773,12,1,0,0,3,1,0.23032069970845503,0.36119402985074656,0.29914529914529897,0.5583333333333331,0.1873545384018619,2,2,0.1358490566037736,1,11,21,0.15000000000000002,42,12,0.49999999999999994,0.5526315789473684,7499
94,0.6000000000000001,0.19895287958115188,12,1,0,0,4,1,0.23032069970845503,0.4343283582089552,0.29914529914529897,0.4750000000000001,0.212955779674166,2,2,0.1358490566037736,1,11,21,0.15000000000000002,42,12,0.49999999999999994,0.5526315789473684,7999
95,0.8,0.5392670157068062,12,1,0,1,1,1,0.24781341107871713,0.31791044776119426,0.29914529914529897,0.4583333333333335,0.20170674941815359,2,2,0.1358490566037736,1,11,21,0.15000000000000002,42,12,0.49999999999999994,0.5526315789473684,8249
96,0.4,0.21465968586387435,12,1,0,0,2,1,0.3090379008746358,0.482089552238806,0.4188034188034191,0.5750000000000006,0.3242823894491854,2,2,0.22264150943396227,1,17,27,0.09375,57,12,0.3888888888888889,0.4736842105263157,8949
97,0.4,0.21465968586387435,12,1,0,0,3,1,0.3090379008746358,0.482089552238806,0.4188034188034191,0.5750000000000006,0.3157486423584174,2,2,0.22264150943396227,1,17,27,0.09375,57,12,0.3888888888888889,0.4736842105263157,9549
98,0.4,0.3298429319371728,12,1,0,0,3,1,0.40233236151603524,0.6059701492537313,0.5299145299145298,0.6083333333333338,0.6233514352211016,4,3,0.45283018867924524,5,21,20,0.125,19,12,0.1111111111111111,0.1578947368421053,13499
99,0.4,0.22513089005235604,12,1,0,0,4,1,0.40233236151603524,0.6492537313432836,0.5299145299145298,0.6916666666666669,0.7013188518231186,4,3,0.45283018867924524,5,21,20,0.125,19,12,0.1111111111111111,0.1578947368421053,14399
100,0.4,0.22513089005235604,12,1,0,0,3,1,0.40233236151603524,0.6492537313432836,0.5299145299145298,0.6083333333333338,0.6097750193948797,4,3,0.45283018867924524,5,21,20,0.125,19,12,0.16666666666666669,0.23684210526315785,13499
101,1.0,0.675392670157068,12,1,0,1,2,2,0.13702623906705558,0.4417910447761191,0.6495726495726499,0.15833333333333366,0.6140418929402638,4,3,0.45283018867924524,5,21,20,0.125,23,12,0.16666666666666669,0.23684210526315785,17199
