,Survived,Pclass,Age,SibSp,Parch,Fare,female,male,CA. 2343,1601,347082,3101295,347088,CA 2144,S.O.C. 14879,382652,LINE,PC 17757,C23 C25 C27,G6,B96 B98,C22 C26,D,F33,E101,F2,B49,E25,S,C,Q
178,0,0.5,0.37170143252073384,0.0,0.0,0.025374310111545468,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
179,0,1.0,0.4470972606182458,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
181,0,0.5,0.36792055349407915,0.0,0.0,0.02937564362913533,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
182,0,1.0,0.10781603417944208,0.5,0.3333333333333333,0.06126431989431795,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
184,1,1.0,0.04498617743151546,0.0,0.3333333333333333,0.04298993693898376,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
185,0,0.0,0.36792055349407915,0.0,0.0,0.09759350042902103,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
186,1,1.0,0.36792055349407915,0.125,0.0,0.030253985132996517,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
187,1,0.0,0.5601910027645137,0.0,0.0,0.051822148727810165,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
189,0,1.0,0.4470972606182458,0.0,0.0,0.015411575213749286,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
190,1,0.5,0.39683337521990447,0.0,0.0,0.025374310111545468,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
191,0,0.5,0.2334757476752953,0.0,0.0,0.025374310111545468,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
192,1,1.0,0.2334757476752953,0.125,0.0,0.015330377421392339,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
196,0,1.0,0.36792055349407915,0.0,0.0,0.015126992566498259,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
197,0,1.0,0.5224930887157577,0.0,0.16666666666666666,0.01640390592611157,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
198,1,1.0,0.36792055349407915,0.0,0.0,0.015126992566498259,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
199,0,0.5,0.2963056044232219,0.0,0.0,0.025374310111545468,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
200,0,1.0,0.34656948982156316,0.0,0.0,0.018542765081513996,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
202,0,1.0,0.4219653179190751,0.0,0.0,0.012678957201736696,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
203,0,1.0,0.5664739884393064,0.0,0.0,0.014102260811993537,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
204,1,1.0,0.22090977632571,0.0,0.0,0.015712553569072387,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
206,0,1.0,0.39683337521990447,0.125,0.0,0.030937139635999665,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
207,1,1.0,0.32143754712239253,0.0,0.0,0.036670757786204655,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
208,1,1.0,0.19577783362653933,0.0,0.0,0.015126992566498259,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
209,1,0.0,0.49736114601658704,0.0,0.0,0.060507970265993034,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
210,0,1.0,0.2963056044232219,0.0,0.0,0.013760683560491965,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
211,1,0.5,0.4345312892686604,0.0,0.0,0.04098927018018883,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
212,0,1.0,0.2711736617240512,0.0,0.0,0.014151057562208049,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
213,0,0.5,0.37170143252073384,0.0,0.0,0.025374310111545468,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
214,0,1.0,0.36792055349407915,0.125,0.0,0.015126992566498259,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
216,1,1.0,0.33400351847197784,0.0,0.0,0.015468569817999833,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
217,0,0.5,0.5224930887157577,0.125,0.0,0.05270049023167135,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
218,1,0.0,0.39683337521990447,0.0,0.0,0.14891148113361488,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
219,0,0.5,0.37170143252073384,0.0,0.0,0.020494635090094415,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
220,1,1.0,0.19577783362653933,0.0,0.0,0.015712553569072387,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
221,0,0.5,0.33400351847197784,0.0,0.0,0.025374310111545468,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
222,0,1.0,0.6355868308620256,0.0,0.0,0.015712553569072387,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
223,0,1.0,0.36792055349407915,0.0,0.0,0.015411575213749286,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
224,1,0.0,0.4722292033174164,0.125,0.0,0.17566830077223786,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
225,0,1.0,0.2711736617240512,0.0,0.0,0.018249984580226933,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
226,1,0.5,0.2334757476752953,0.0,0.0,0.020494635090094415,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
227,0,1.0,0.2523247046996733,0.0,0.0,0.014151057562208049,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
228,0,0.5,0.22090977632571,0.0,0.0,0.025374310111545468,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
229,0,1.0,0.36792055349407915,0.375,0.16666666666666666,0.049707687947515,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
230,1,0.0,0.4345312892686604,0.125,0.0,0.16293234896625058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
231,0,1.0,0.35913546117114853,0.0,0.0,0.015175789316712771,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
232,0,0.5,0.7361146016587082,0.0,0.0,0.026350245115835676,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
233,1,1.0,0.05755214878110078,0.5,0.3333333333333333,0.06126431989431795,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
234,0,0.5,0.2963056044232219,0.0,0.0,0.020494635090094415,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
235,0,1.0,0.36792055349407915,0.0,0.0,0.014736618564782174,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
236,0,0.5,0.5476250314149284,0.125,0.0,0.050748620223090936,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
237,1,0.5,0.09525006282985675,0.0,0.3333333333333333,0.05123658772523604,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
238,0,0.5,0.2334757476752953,0.0,0.0,0.020494635090094415,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
239,0,0.5,0.4093993465694898,0.0,0.0,0.023959204355324663,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
240,0,1.0,0.36792055349407915,0.125,0.0,0.028212719478023115,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
241,1,1.0,0.36792055349407915,0.125,0.0,0.030253985132996517,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
242,0,0.5,0.35913546117114853,0.0,0.0,0.020494635090094415,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
243,0,1.0,0.2711736617240512,0.0,0.0,0.013907073811135496,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
244,0,1.0,0.37170143252073384,0.0,0.0,0.014102260811993537,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
246,0,1.0,0.3088715757728072,0.0,0.0,0.015175789316712771,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
247,1,0.5,0.2963056044232219,0.0,0.3333333333333333,0.028302115124416098,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
248,1,0.0,0.4596632319678311,0.125,0.16666666666666666,0.10257896680493714,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
249,0,0.5,0.6732847449107816,0.125,0.0,0.050748620223090936,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
250,0,1.0,0.36792055349407915,0.0,0.0,0.014151057562208049,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
252,0,0.0,0.7738125157074642,0.0,0.0,0.051822148727810165,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
253,0,1.0,0.37170143252073384,0.125,0.0,0.031425107138144774,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
254,0,1.0,0.5099271173661725,0.0,0.3333333333333333,0.039452172548431745,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
257,1,0.0,0.37170143252073384,0.0,0.0,0.16883675574220638,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
259,1,0.5,0.6230208595124404,0.0,0.16666666666666666,0.050748620223090936,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
260,0,1.0,0.36792055349407915,0.0,0.0,0.015126992566498259,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
261,1,1.0,0.032420206081930136,0.5,0.3333333333333333,0.06126431989431795,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
262,0,0.0,0.648152802211611,0.125,0.16666666666666666,0.1554664461834305,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
263,0,0.0,0.49736114601658704,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
264,0,1.0,0.36792055349407915,0.0,0.0,0.015126992566498259,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
265,0,0.5,0.4470972606182458,0.0,0.0,0.020494635090094415,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
267,1,1.0,0.3088715757728072,0.125,0.0,0.015175789316712771,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
269,1,0.0,0.4345312892686604,0.0,0.0,0.2647385704347907,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
270,0,0.0,0.36792055349407915,0.0,0.0,0.060507970265993034,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
271,1,1.0,0.3088715757728072,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
272,1,0.5,0.5099271173661725,0.0,0.16666666666666666,0.038061465167318204,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
274,1,1.0,0.36792055349407915,0.0,0.0,0.015126992566498259,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
275,1,0.0,0.7863784870570495,0.125,0.0,0.15216446768991498,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
276,0,1.0,0.5601910027645137,0.0,0.0,0.015126992566498259,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
277,0,0.5,0.36792055349407915,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
279,1,1.0,0.4345312892686604,0.125,0.16666666666666666,0.03952536767375352,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
280,0,1.0,0.8115104297562202,0.0,0.0,0.015126992566498259,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
281,0,1.0,0.34656948982156316,0.0,0.0,0.015330377421392339,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
282,0,1.0,0.19577783362653933,0.0,0.0,0.018542765081513996,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
283,1,1.0,0.2334757476752953,0.0,0.0,0.015712553569072387,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
284,0,0.0,0.36792055349407915,0.0,0.0,0.050748620223090936,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
285,0,1.0,0.4093993465694898,0.0,0.0,0.016908073949327893,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
286,1,1.0,0.37170143252073384,0.0,0.0,0.018542765081513996,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
287,0,1.0,0.2711736617240512,0.0,0.0,0.015411575213749286,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
288,1,0.5,0.5224930887157577,0.0,0.0,0.025374310111545468,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
289,1,1.0,0.2711736617240512,0.0,0.0,0.015126992566498259,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
290,1,0.0,0.32143754712239253,0.0,0.0,0.15390495017656614,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
293,0,1.0,0.2963056044232219,0.0,0.0,0.01727404957593672,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
294,0,1.0,0.2963056044232219,0.0,0.0,0.015411575213749286,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
295,0,0.0,0.36792055349407915,0.0,0.0,0.05410739813385612,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
296,0,1.0,0.2900226187484292,0.0,0.0,0.014110458666029575,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
298,1,0.0,0.36792055349407915,0.0,0.0,0.05953203526170282,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
300,1,1.0,0.36792055349407915,0.0,0.0,0.015126992566498259,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
302,0,1.0,0.2334757476752953,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
304,0,1.0,0.36792055349407915,0.0,0.0,0.015712553569072387,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
308,0,0.5,0.37170143252073384,0.125,0.0,0.04684488020593009,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
309,1,0.0,0.37170143252073384,0.0,0.0,0.11111839809247648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
312,0,0.5,0.32143754712239253,0.125,0.16666666666666666,0.050748620223090936,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
313,0,1.0,0.34656948982156316,0.0,0.0,0.015411575213749286,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
314,0,0.5,0.5350590600653431,0.125,0.16666666666666666,0.05123658772523604,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
315,1,1.0,0.32143754712239253,0.0,0.0,0.015330377421392339,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
316,1,0.5,0.2963056044232219,0.125,0.0,0.050748620223090936,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
317,0,0.5,0.6732847449107816,0.0,0.0,0.027326180120125887,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
320,0,1.0,0.2711736617240512,0.0,0.0,0.014151057562208049,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
321,0,1.0,0.33400351847197784,0.0,0.0,0.015411575213749286,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
322,1,0.5,0.37170143252073384,0.0,0.0,0.024105594605968193,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
323,1,0.5,0.2711736617240512,0.125,0.16666666666666666,0.056604230248832196,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
326,0,1.0,0.7612465443578789,0.0,0.0,0.012174789178520372,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
328,1,1.0,0.38426740387031916,0.125,0.16666666666666666,0.04006213192611313,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
331,0,0.0,0.5664739884393064,0.0,0.0,0.055628295244541985,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
332,0,0.0,0.4722292033174164,0.0,0.16666666666666666,0.2995388511917728,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
333,0,1.0,0.19577783362653933,0.25,0.0,0.03513366015444757,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
334,1,0.0,0.36792055349407915,0.125,0.0,0.2608674266467732,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
335,0,1.0,0.36792055349407915,0.0,0.0,0.015411575213749286,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
336,0,0.0,0.35913546117114853,0.125,0.0,0.12999454257145598,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
338,1,1.0,0.5601910027645137,0.0,0.0,0.015712553569072387,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
339,0,0.0,0.5601910027645137,0.0,0.0,0.06929138530460494,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
342,0,0.5,0.34656948982156316,0.0,0.0,0.025374310111545468,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
343,0,0.5,0.3088715757728072,0.0,0.0,0.025374310111545468,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
344,0,0.5,0.4470972606182458,0.0,0.0,0.025374310111545468,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
346,1,0.5,0.49736114601658704,0.0,0.0,0.025374310111545468,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
347,1,1.0,0.36792055349407915,0.125,0.0,0.031425107138144774,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
348,1,1.0,0.032420206081930136,0.125,0.16666666666666666,0.031034733136428686,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
349,0,1.0,0.5224930887157577,0.0,0.0,0.016908073949327893,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
350,0,1.0,0.2837396330736366,0.0,0.0,0.01800600082915438,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
351,0,0.0,0.36792055349407915,0.0,0.0,0.06831545030031472,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
352,0,1.0,0.18321186227695402,0.125,0.16666666666666666,0.014110458666029575,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
353,0,1.0,0.3088715757728072,0.125,0.0,0.034743286152731485,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
354,0,1.0,0.36792055349407915,0.0,0.0,0.014102260811993537,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
355,0,1.0,0.34656948982156316,0.0,0.0,0.018542765081513996,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
356,1,0.0,0.2711736617240512,0.0,0.16666666666666666,0.10735285047192313,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
357,0,0.5,0.4722292033174164,0.0,0.0,0.025374310111545468,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
358,1,1.0,0.36792055349407915,0.0,0.0,0.01537917417160685,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
359,1,1.0,0.36792055349407915,0.0,0.0,0.01537917417160685,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
